id,kind,file,section,line_no,line_text
CANON:AUDIENCE-SCOPE,DEF,Career Canon.md,CANON:AUDIENCE-SCOPE,17,> ## CANON:AUDIENCE-SCOPE
CANON:ARCHIVO-VANTAGE,REF,Career Canon.md,CANON:AUDIENCE-SCOPE,20,"> - Alcance: Este documento es el CAREER_CANON_RUNTIME, que contiene la fuente de verdad profesional activa: perfil, skills, experiencias canónicas (C01–C05), KPIs validados, facts canónicos y Output "
CANON:PROFILE-001,DEF,Career Canon.md,CANON:PROFILE-001 — A. PROFESSIONAL PROFILE,21,## CANON:PROFILE-001 — A. PROFESSIONAL PROFILE
CANON:SKILLS-001,DEF,Career Canon.md,CANON:SKILLS-001 — B. SKILLS CANON,27,## CANON:SKILLS-001 — B. SKILLS CANON
CANON:EXPERIENCE-001,DEF,Career Canon.md,CANON:EXPERIENCE-001 — D. EXPERIENCE RECORDS,36,## CANON:EXPERIENCE-001 — D. EXPERIENCE RECORDS
CANON:EXPERIENCE-C01,DEF,Career Canon.md,C01 • L'Oréal Luxe México • Feb 2025 – Mar 2026,38,CANON:EXPERIENCE-C01
CANON:EXPERIENCE-C02,DEF,Career Canon.md,C02 • Bisonte Experiential Marketing • 2022 – 2023,54,CANON:EXPERIENCE-C02
CANON:EXPERIENCE-C03,DEF,Career Canon.md,C03 • Levi Strauss & Co. (Dockers) • 2018 – 2021,66,CANON:EXPERIENCE-C03
CANON:EXPERIENCE-C04,DEF,Career Canon.md,C04 • Aéropostale México • 2017 – 2018,80,CANON:EXPERIENCE-C04
CANON:EXPERIENCE-C05,DEF,Career Canon.md,C05 • El Palacio de Hierro (ALDO Group) • 2012 – 2017,92,CANON:EXPERIENCE-C05
CANON:ACHIEVEMENTS-001,DEF,Career Canon.md,CANON:ACHIEVEMENTS-001 — H. ACHIEVEMENT LIBRARY,105,## CANON:ACHIEVEMENTS-001 — H. ACHIEVEMENT LIBRARY
CANON:KPIS-001,DEF,Career Canon.md,CANON:KPIS-001 — I. CORE KPIs,121,## CANON:KPIS-001 — I. CORE KPIs
CANON:KPI-001,DEF,Career Canon.md,KPI01 · Traffic +43%,123,CANON:KPI-001
CANON:KPI-002,DEF,Career Canon.md,KPI02 · Conversion +18%,125,CANON:KPI-002
CANON:KPI-003,DEF,Career Canon.md,KPI03 · Campaign Cost Reduction -74%,127,CANON:KPI-003
CANON:KPI-004,DEF,Career Canon.md,KPI04 · Floorset Time Reduction -33%,129,CANON:KPI-004
CANON:KPI-005,DEF,Career Canon.md,KPI05 · POP Coverage 100%,131,CANON:KPI-005
CANON:KPI-006,DEF,Career Canon.md,KPI06 · Rebranding Coverage 100%,133,CANON:KPI-006
CANON:KPI-007,DEF,Career Canon.md,KPI07 · Adidas Punch List Count (17),135,CANON:KPI-007
CANON:KPI-008,DEF,Career Canon.md,KPI08 · Years Experience (10+ Canonical),137,CANON:KPI-008
CANON:FACTS-001,DEF,Career Canon.md,CANON:FACTS-001 — J. CANONICAL FACTS,139,## CANON:FACTS-001 — J. CANONICAL FACTS
CANON:FACT-001,DEF,Career Canon.md,CF01,141,CANON:FACT-001
CANON:FACT-002,DEF,Career Canon.md,CF02,144,CANON:FACT-002
CANON:FACT-003,DEF,Career Canon.md,CF03,147,CANON:FACT-003
CANON:FACT-004,DEF,Career Canon.md,CF04,150,CANON:FACT-004
CANON:FACT-005,DEF,Career Canon.md,CF05,153,CANON:FACT-005
CANON:FACT-006,DEF,Career Canon.md,CF06,156,CANON:FACT-006
CANON:FACT-007,DEF,Career Canon.md,CF07,159,CANON:FACT-007
CANON:FACT-008,DEF,Career Canon.md,CF08,162,CANON:FACT-008
CANON:UF-001,DEF,Career Canon.md,UF01,165,CANON:UF-001
CANON:UF-002,DEF,Career Canon.md,UF02,168,CANON:UF-002
CANON:UF-003,DEF,Career Canon.md,UF03,171,CANON:UF-003
CANON:POSITIONING-001,DEF,Career Canon.md,CANON:POSITIONING-001 — K. POSITIONING MODES,174,## CANON:POSITIONING-001 — K. POSITIONING MODES
CANON:POSITIONING-N1,DEF,Career Canon.md,N1 · Luxury Brand Execution,176,CANON:POSITIONING-N1
CANON:POSITIONING-N2,DEF,Career Canon.md,N2 · Store Design & Flagship Execution,179,CANON:POSITIONING-N2
CANON:POSITIONING-N3,DEF,Career Canon.md,N3 · Regional Brand Execution & Rollout,182,CANON:POSITIONING-N3
CANON:POSITIONING-N4,DEF,Career Canon.md,N4 · Commercial VM & Field Leadership,185,CANON:POSITIONING-N4
CANON:OUTPUT-CONTRACT-001,DEF,Career Canon.md,CANON:OUTPUT-CONTRACT-001 — L. OUTPUT CONTRACT,194,## CANON:OUTPUT-CONTRACT-001 — L. OUTPUT CONTRACT
CANON:OUTPUT-CONTRACT-SKELETON-001,DEF,Career Canon.md,GOLDEN SKELETON (REFERENCE),201,CANON:OUTPUT-CONTRACT-SKELETON-001
CANON:FIGMA-TAG-SCHEMA,DEF,Career Canon.md,Figma Tag Schema · ID: CANON:FIGMA-TAG-SCHEMA,227,### Figma Tag Schema · ID: CANON:FIGMA-TAG-SCHEMA
CANON:TAG-REGISTRY,DEF,Career Canon.md,Tag Registry · ID: CANON:TAG-REGISTRY,230,## Tag Registry · ID: CANON:TAG-REGISTRY
CANON:OUTPUT-CONTRACT-TAGREGISTRY-001,DEF,Career Canon.md,Tag Registry · ID: CANON:TAG-REGISTRY,231,CANON:OUTPUT-CONTRACT-TAGREGISTRY-001
